Time,Resistance
38184,44404.94
38295,44426.64
38406,44456.84
38517,44481.46
38628,44483.4
38739,44451.24
38850,44392.04
38961,44389.6
39072,44393.5
39183,44395.44
39294,44397.64
39405,44399.58
39516,44401.78
39627,44403.24
39738,44405.18
39849,44409.82
39960,44428.34
40071,44458.32
40182,44487.56
40293,44495.6
40404,44471.96
40515,44411.76
40626,44400.08
40737,44404.22
40848,44406.66
40959,44409.34
41070,44411.28
41181,44413.96
41292,44415.18
41403,44417.62
41514,44419.32
41625,44435.9
41736,44460.5
41847,44492.66
41958,44506.32
42069,44494.38
42180,44441
42291,44409.08
42402,44413.72
42513,44416.64
42624,44419.32
42735,44422
42846,44423.46
42957,44425.42
43068,44427.12
43179,44429.06
43290,44440.28
43401,44461.48
43512,44491.44
43623,44510.94
43734,44508.5
43845,44463.68
43956,44417.86
44067,44422.98
44178,44425.9
44289,44429.32
44400,44430.78
44511,44432.96
44622,44434.92
44733,44436.86
44844,44438.32
44955,44446.38
45066,44466.6
45177,44496.08
45288,44520.94
45399,44519.96
45510,44484.14
45621,44431.5
45732,44431.76
45843,44436.14
45954,44438.32
46065,44441
46176,44442.48
46287,44444.18
46398,44445.4
46509,44446.38
46620,44451.98
46731,44470
46842,44499.24
46953,44523.86
47064,44530.92
47175,44508.5
47286,44448.56
47397,44438.82
47508,44442.72
47619,44445.16
47730,44447.84
47841,44449.06
47952,44451.24
48063,44452.46
48174,44453.68
48285,44455.38
48396,44471.96
48507,44496.82
48618,44523.86
48729,44536.52
48840,44521.18
48951,44465.14
49062,44443.94
49173,44449.06
49284,44451.98
49395,44454.42
49506,44456.84
49617,44459.04
49728,44460.26
49839,44461.48
49950,44463.42
50061,44476.34
50172,44497.54
50283,44528.48
50394,44543.84
50505,44536.52
50616,44489.26
50727,44450.52
50838,44455.88
50949,44459.52
51060,44461.48
51171,44463.42
51282,44465.38
51393,44466.84
51504,44467.32
51615,44468.06
51726,44477.56
51837,44497.3
51948,44526.54
52059,44545.78
52170,44544.32
52281,44502.42
52392,44455.14
52503,44459.28
52614,44462.2
52725,44465.38
52836,44467.08
52947,44469.04
53058,44470
53169,44471.22
53280,44471.96
53391,44479.02
53502,44496.56
53613,44524.58
53724,44547
53835,44548.72
53946,44513.86
54057,44462.7
54168,44462.7
54279,44466.36
54390,44468.78
54501,44471.72
54612,44473.66
54723,44475.62
54834,44476.82
54945,44479.02
55056,44484.14
55167,44500.22
55278,44528
55389,44553.34
55500,44559.44
55611,44534.34
55722,44478.54
55833,44472.94
55944,44477.08
56055,44480.72
56166,44482.44
56277,44484.14
56388,44485.6
56499,44486.34
56610,44487.56
56721,44490.24
56832,44504.12
56943,44529.46
57054,44556.02
57165,44564.56
57276,44546.04
57387,44490.24
57498,44473.42
57609,44476.1
57720,44478.54
57831,44480.24
57942,44482.2
58053,44483.4
58164,44484.88
58275,44485.6
58386,44486.34
58497,44499
58608,44520.2
58719,44547.26
58830,44563.08
58941,44554.32
59052,44507.54
59163,44470.74
59274,44475.36
59385,44478.78
59496,44480.72
59607,44482.2
59718,44483.66
59829,44484.88
59940,44485.84
60051,44485.84
60162,44495.1
60273,44513.14
60384,44541.64
60495,44562.12
60606,44558.46
60717,44515.08
60828,44471.96
60939,44476.1
61050,44479.26
61161,44481.22
61272,44482.92
61383,44483.4
61494,44484.62
61605,44485.36
61716,44485.6
61827,44492.18
61938,44509.72
62049,44537.26
62160,44559.92
62271,44559.92
62382,44527.76
62493,44476.1
62604,44474.64
62715,44477.56
62826,44480.48
62937,44482.68
63048,44483.9
63159,44485.12
63270,44485.6
63381,44486.82
63492,44490.72
63603,44506.8
63714,44532.14
63825,44556.26
63936,44563.08
64047,44537.02
64158,44480.72
64269,44473.18
64380,44476.58
64491,44479.5
64602,44480.98
64713,44482.92
64824,44483.9
64935,44484.38
65046,44485.36
65157,44487.56
65268,44500.7
65379,44524.1
65490,44550.66
65601,44560.16
65712,44545.54
65823,44489.74
65934,44471.72
66045,44474.88
66156,44477.32
66267,44479.02
66378,44480.48
66489,44480.72
66600,44481.94
66711,44483.16
66822,44482.92
66933,44494.12
67044,44512.16
67155,44538.24
67266,44554.08
67377,44550.66
67488,44513.38
67599,44466.36
67710,44470
67821,44472.68
67932,44475.12
68043,44476.34
68154,44477.56
68265,44478.54
68376,44479.26
68487,44479.26
68598,44484.14
68709,44498.76
68820,44523.38
68931,44544.32
69042,44550.9
69153,44529.22
69264,44473.18
69375,44463.18
69486,44467.32
69597,44469.76
69708,44471.72
69819,44472.94
69930,44473.66
70041,44474.64
70152,44475.62
70263,44477.32
70374,44490.48
70485,44512.4
70596,44538.72
70707,44552.12
70818,44543.1
70929,44495.6
71040,44462.46
71151,44466.84
71262,44469.28
71373,44470.5
71484,44471.46
71595,44471.96
71706,44472.2
71817,44472.44
71928,44472.44
72039,44480.72
72150,44497.06
72261,44523.38
72372,44540.92
72483,44540.92
72594,44509.24
72705,44458.32
72816,44456.12
72927,44459.52
73038,44459.78
73149,44461.72
73260,44462.7
73371,44463.68
73482,44464.16
73593,44463.92
73704,44467.56
73815,44480.72
73926,44503.38
74037,44527.26
74148,44536.52
74259,44521.42
74370,44470
74481,44447.34
74592,44451.24
74703,44453.2
74814,44454.9
74925,44455.62
75036,44456.6
75147,44457.34
75258,44457.82
75369,44458.56
75480,44469.04
75591,44486.58
75702,44513.62
75813,44529.22
75924,44526.78
76035,44490.24
76146,44441.98
76257,44442.48
76368,44444.66
76479,44446.38
76590,44447.1
76701,44449.3
76812,44450.02
76923,44450.52
77034,44451.24
77145,44455.14
77256,44469.52
77367,44493.88
77478,44516.3
77589,44522.88
77700,44505.34
77811,44451.48
77922,44436.14
78033,44440.04
78144,44442.22
78255,44444.42
78366,44445.64
78477,44446.38
78588,44447.34
78699,44449.06
78810,44448.8
78921,44461.24
79032,44480.48
79143,44506.56
79254,44521.42
79365,44515.08
79476,44473.9
79587,44432.24
79698,44436.38
79809,44439.06
79920,44441
80031,44442.72
80142,44443.44
80253,44443.7
80364,44444.18
80475,44444.18
80586,44451
80697,44465.38
80808,44490.72
80919,44511.92
81030,44513.38
81141,44486.34
81252,44432.96
81363,44429.06
81474,44431.76
81585,44433.46
81696,44434.44
81807,44435.9
81918,44436.38
82029,44437.6
82140,44438.32
82251,44441.98
82362,44455.14
82473,44478.78
82584,44502.18
82695,44510.46
82806,44495.1
82917,44443.2
83028,44423.46
83139,44426.88
83250,44429.56
83361,44431.26
83472,44432.72
83583,44433.7
83694,44433.7
83805,44434.44
83916,44435.16
84027,44446.86
84138,44465.86
84249,44491.7
84360,44503.38
84471,44499
84582,44459.28
84693,44417.38
84804,44421.52
84915,44424.44
85026,44426.64
85137,44427.86
85248,44428.58
85359,44429.32
85470,44430.54
85581,44431.76
85692,44436.86
85803,44451.74
